DESCRIÇÃO;IGESDF;BRAZ;CEI II;GAMA;PAR;PLAN;RF II;VIC PS;IHB 
Cessão de direito de uso de Software (Licenças);-44.315,51;;;;;;;;-44.315,51
Processos e Depósitos Judiciais;-192.803,07;;;;;;;;-192.803,07
Multa Fiscal, Tributos, CSRF (5952) e IRRF (1708);-1.224.279,55;;;;;;;;-1.224.279,55
Cartório (Cópias, Registros, Autenticações e Rec. Firma);-11.094,04;;;;;;;;-11.094,04
Tarifas bancárias;-5.101,28;-200,01;;;;;;;-4.901,27
Condução, Táxi, e Passagens Aéreas;0,00;;;;;;;;
Material de Escritório;0,00;;;;;;;;
Bens de Pequeno Valor;-24.589,55;;;;;;;;-24.589,55
Confraternizações e Presentes;0,00;;;;;;;;
Copa, Cozinha e Refeitório;0,00;;;;;;;;
Doação;0,00;;;;;;;;
CONCESSIONÁRIAS;-3.643.635,84;-16.615,15;-21.543,42;-30.819,41;-18.653,08;-28.517,99;-33.474,12;-37.578,21;-3.456.434,46
Serviço de água e esgoto;-2.418.747,63;-5.943,23;-9.601,85;-4.924,12;-7.363,14;-14.686,61;-8.330,68;-8.327,63;-2.359.570,37
Serviços de energia elétrica;-1.224.888,21;-10.671,92;-11.941,57;-25.895,29;-11.289,94;-13.831,38;-25.143,44;-29.250,58;-1.096.864,09
Serviços de telecomunicações;0,00;;;;;;;;
MATERIAL DE CONSUMO;-21.083.040,30;-84.919,52;-162.961,33;-198.057,63;-112.968,45;-120.346,34;-145.117,92;-147.432,29;-20.111.236,82
Medicamentos;-8.861.279,89;-27.003,94;-61.927,17;-104.511,09;-66.908,15;-56.679,86;-62.975,19;-63.503,53;-8.417.770,96
Material de expediente;-8.875,00;-1.461,48;-1.414,89;-3.464,45;-1.641,61;-1.558,79;-3.404,47;-1.911,51;5.982,20
Material médico-hospitalar;-4.971.164,85;-50.464,27;-54.304,72;-65.466,74;-14.441,98;-37.171,66;-60.848,89;-56.762,88;-4.631.703,71
Material para reabilitação (OPME-órteses, próteses e materiais);-3.882.398,91;;;;;;;;-3.882.398,91
Combustíveis e lubrificantes outras finalidades;-372.600,00;;;;;;;;-372.600,00
Gases medicinais;-519.502,50;-143,72;-10.880,23;-8.689,35;-258,70;-18.691,70;-8.480,69;-9.319,25;-463.038,86
Nutrição Enteral / Parenteral;-182.593,61;;;;;;;;-182.593,61
Material laboratorial;-2.228.835,25;-5.846,11;-34.434,32;-15.926,00;-29.718,01;-6.244,33;-9.408,68;-15.935,12;-2.111.322,68
Material para manutenção de Equipto Médico Hospitalar;-55.112,29;;;;;;;;-55.112,29
Material de limpeza;-678,00;;;;;;;;-678,00
Material para manutenção de bens móveis;0,00;;;;;;;;
Material para manutenção de bens imóveis;0,00;;;;;;;;
Materiais Descartáveis (Almoxarifado-Avental, Fralda, Lençol, etc);0,00;;;;;;;;
Outros materiais de consumo;0,00;;;;;;;;
SERVIÇOS DE TERCEIROS;-29.872.036,63;-360.880,26;-497.136,95;-500.297,43;-524.619,38;-500.632,35;-481.673,75;-576.832,15;-26.429.964,36
Outros serviços de terceiros - pessoa jurídica;-40.276,94;;;;;;;;-40.276,94
Serviços de vigilância e segurança;-1.727.882,12;-77.311,79;-77.311,79;-77.311,79;-77.311,79;-77.311,79;-77.311,79;-77.311,79;-1.186.699,59
Serviço de manutenção e conservação de bens imóveis;-942.140,35;-2.732,05;-2.732,00;-23.333,27;-30.573,51;-30.573,51;-23.333,27;-2.732,00;-826.130,74
Serviço de manutenção e conservação de máquinas e equipamentos;-1.289.507,39;-1.310,91;-2.737,42;-1.403,35;-793,05;-1.545,30;-952,84;-1.554,18;-1.279.210,34
Serviço de coleta de resíduos de serviços de saúde;-148.175,37;-2.073,55;-3.213,46;-1.938,48;-1.554,64;-1.544,62;-1.229,11;-3.002,29;-133.619,22
Infraestrutura em TI e Gestão de Sistemas;-3.718.353,06;-10.846,43;-11.319,16;-10.531,33;-11.319,17;-10.767,64;-10.610,11;-10.531,33;-3.642.427,89
Serviço de lavanderia;-428.519,32;-1.567,00;-1.567,00;-1.567,00;-1.567,00;-1.567,00;-1.567,00;-1.567,00;-417.550,32
Serviços de limpeza e conservação;-3.128.771,48;-58.168,41;-58.134,46;-58.245,95;-53.590,95;-58.271,20;-58.117,87;-58.188,32;-2.726.054,32
Serviço de Atendimento;-1.503.213,13;-37.468,84;-37.468,84;-37.468,84;-37.468,84;-74.937,68;-37.468,84;-37.468,84;-1.203.462,41
Serviço de Transporte Assistencial;-2.623.793,48;-54.043,05;-142.364,40;-116.380,49;-161.374,02;-84.828,84;-120.034,02;-185.905,30;-1.758.863,36
Serviço de Radiologia e Imagem;-2.247.561,58;-373,85;-348,25;-332,31;-332,31;-399,42;-341,96;-322,66;-2.245.110,82
Serviços laboratoriais;-26.940,76;;;;;;;;-26.940,76
Propaganda, Publicidade, Anúncios, amostras e Patrocínio;-390,08;;;;;;;;-390,08
Serviço de fornecimento de alimentação - pessoa jurídica;-6.856.357,28;-38.230,85;-63.655,67;-68.916,36;-57.533,28;-67.632,15;-49.808,96;-87.766,57;-6.422.813,44
Serviço de Transporte Administrativo - Locação;-134.272,46;;;;;;;;-134.272,46
Auditoria, Assessoria, Consultoria e Perícia;0,00;;;;;;;;
Assessoria recrutamento e seleção;0,00;;;;;;;;
Gestão Integrada de Leito Hospitalar;0,00;;;;;;;;
Central de Regulação - Gerenciamento Remoção Paciente;0,00;;;;;;;;
Serviço de cópias e reprodução de documentos;0,00;;;;;;;;
Locação de Bens e Equipamentos;-2.550.276,14;-25.381,61;-38.192,72;-41.193,19;-30.829,42;-36.814,11;-38.838,48;-49.330,32;-2.289.696,29
Terceirização de Serviços - Regime de execução indireta;0,00;;;;;;;;
IRRF;-206.657,19;-3.198,65;-4.663,38;-4.451,75;-5.203,14;-4.014,09;-4.506,99;-5.352,34;-175.266,85
CSRF;-872.189,43;-13.240,15;-16.363,71;-19.289,32;-17.471,85;-13.544,14;-19.468,55;-17.966,38;-754.845,33
ISS;-519.859,30;-12.291,69;-14.370,69;-13.882,17;-14.605,63;-13.260,80;-13.900,95;-15.223,73;-422.323,64
INSS;-906.133,24;-22.641,43;-22.694,00;-24.051,83;-23.090,78;-23.620,06;-24.183,01;-22.609,10;-743.243,03
Bloqueio Judicial;-766,53;;;;;;;;-766,53
TOTAL DE DESEMBOLSOS CUSTEIO;-106.512.302,54;-1.362.006,36;-1.617.125,21;-1.618.740,23;-1.586.982,06;-1.555.304,80;-1.537.665,92;-1.629.998,99;-95.604.478,97
Transferência entre contas (+/-);-0,04;-413.158,28;-442.961,82;-323.059,36;-349.377,08;-312.922,33;-380.984,29;-479.269,05;2.701.732,17
Numerário em Trânsito ;;;;;;;;;
SALDO (CUSTEIO);163.465.547,45;11.531.321,54;7.197.445,76;6.665.924,05;8.009.071,57;8.945.669,91;8.329.237,13;10.352.160,48;102.434.717,01
